,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Symbol,Security Name,common name
0,0,0,0,0,AACG,ATA Creativity Global,ATA Creativity Global
1,1,1,1,1,AACI,Armada Acquisition,Armada Acquisition
2,2,2,2,2,AACIU,Armada Acquisition,Armada Acquisition
3,3,3,3,3,AACIW,Armada Acquisition,Armada Acquisition
4,4,4,4,4,AADI,Aadi Bioscience ,Aadi
5,5,5,5,5,AADR,AdvisorShares Dorsey Wright ADR ,AdvisorShares
6,6,6,6,6,AAL,American Airlines Group ,American Airlines
7,7,7,7,7,AAME,Atlantic American ,Atlantic American
8,8,8,8,8,AAOI,Applied Optoelectronics ,AOI
9,9,9,9,9,AAON,AAON ,AAON
10,10,10,10,10,AAPB,GraniteShares 1.75x Long AAPL Daily ,GraniteShares
11,11,11,11,11,AAPD,Direxion Daily AAPL Bear 1X Shares,Apple Bear
12,12,12,12,12,AAPL,Apple ,Apple
13,13,13,13,13,AAPU,Direxion Daily AAPL Bull 1.5X Shares,Direxion
14,14,14,14,14,AAXJ,iShares MSCI All Country Asia ex Japan ,iShares
15,15,15,15,15,ABCB,Ameris Ban,Ameris Bank
16,16,16,16,16,ABCL,AbCellera Biologics ,AbCellera
17,17,17,17,17,ABCM,Abcam plc,Abcam
18,18,18,18,18,ABEO,Abeona Therapeutics ,Abeona Therapeutics
19,19,19,19,19,ABIO,ARCA biopharma ,ARCA
20,20,20,20,20,ABL,Abacus Life ,Abacus
21,21,21,21,21,ABLLW,Abacus Life ,Abacus
22,22,22,22,22,ABLV,Able View Global ,AbleView
23,23,23,23,23,ABLVW,Able View Global ,AbleView
24,24,24,24,24,ABNB,Airbnb ,Airbnb
25,25,25,25,25,ABOS,Acumen Pharmaceuticals ,Acumen
26,26,26,26,26,ABSI,Absci ,Common name: Absci
27,27,27,27,27,ABUS,Arbutus Biopharma ,Arbutus
28,28,28,28,28,ABVC,ABVC BioPharma ,ABVC
29,29,29,29,29,ACAB,Atlantic Coastal Acquisition,Coastal Acquisition
30,30,30,30,30,ACABU,Atlantic Coastal Acquisition,Atlantic Coastal
31,31,31,31,31,ACABW,Atlantic Coastal Acquisition,Atlantic Coastal
32,32,32,32,32,ACAC,Acri Capital Acquisition ,Acri Capital
33,33,33,33,33,ACACU,Acri Capital Acquisition ,Acri Capital
34,34,34,34,34,ACACW,Acri Capital Acquisition ,Acri Capital
35,35,35,35,35,ACAD,ACADIA Pharmaceuticals ,ACADIA
36,36,36,36,36,ACAH,Atlantic Coastal Acquisition ,Atlantic Coastal
37,37,37,37,37,ACAHU,Atlantic Coastal Acquisition ,Atlantic Coastal Acquisition
38,38,38,38,38,ACAHW,Atlantic Coastal Acquisition ,Atlantic Coastal
39,39,39,39,39,ACAX,Alset Capital Acquisition ,Alset Capital
40,40,40,40,40,ACAXR,Alset Capital Acquisition ,Alset Capital
41,41,41,41,41,ACAXU,Alset Capital Acquisition ,Alset Capital
42,42,42,42,42,ACAXW,Alset Capital Acquisition ,Alset Capital
43,43,43,43,43,ACB,Aurora Cannabis ,Aurora Cannabis
44,44,44,44,44,ACBA,Ace Global Business Acquisition ,Ace Global
45,45,45,45,45,ACBAU,Ace Global Business Acquisition ,Ace Global
46,46,46,46,46,ACBAW,Ace Global Business Acquisition ,Ace Global
47,47,47,47,47,ACCD,Accolade ,Accolade
48,48,48,48,48,ACDC,ProFrac Holding ,ProFrac
49,49,49,49,49,ACDCW,ProFrac Holding ,ProFrac
50,50,50,50,50,ACER,Acer Therapeutics ,Acer
51,51,51,51,51,ACET,Adicet Bio ,Adicet Bio
52,52,52,52,52,ACGL,Arch Capital Group ,Arch
53,53,53,53,53,ACGLN,Arch Capital Group ,Arch
54,54,54,54,54,ACGLO,Arch Capital Group ,Arch
55,55,55,55,55,ACHC,Acadia Healthcare,Acadia
56,56,56,56,56,ACHL,Achilles Therapeutics plc,Achilles Therapeutics
57,57,57,57,57,ACHV,Achieve Life Sciences,Achieve
58,58,58,58,58,ACIC,American Coastal Insurance ,Coastal Insurance
59,59,59,59,59,ACIU,AC Immune SA,AC Immune
60,60,60,60,60,ACIW,ACI Worldwide ,ACI
61,61,61,61,61,ACLS,Axcelis Technologies ,Axcelis
62,62,62,62,62,ACLX,Arcellx ,Arcellx
63,63,63,63,63,ACMR,ACM Research ,ACM
64,64,64,64,64,ACNB,ACNB ,ACNB
65,65,65,65,65,ACNT,Ascent Industries ,Ascent
66,66,66,66,66,ACON,Aclarion ,Clarion
67,67,67,67,67,ACONW,Aclarion ,Clarion
68,68,68,68,68,ACOR,Acorda Therapeutics ,Acorda
69,69,69,69,69,ACRS,Aclaris Therapeutics ,Aclaris
70,70,70,70,70,ACRV,Acrivon Therapeutics ,Acrivon
71,71,71,71,71,ACRX,AcelRx Pharmaceuticals ,AcelRx
72,72,72,72,72,ACST,Acasti Pharma,Acasti Pharma
73,73,73,73,73,ACT,Enact Holdings ,Enact
74,74,74,74,74,ACTG,Acacia Research ,Acacia
75,75,75,75,75,ACVA,ACV Auctions ,ACV
76,76,76,76,76,ACWI,iShares MSCI ACWI ,iShares
77,77,77,77,77,ACWX,iShares MSCI ACWI ex U.S. ,iShares
78,78,78,78,78,ACXP,Acurx Pharmaceuticals ,Acux
79,79,79,79,79,ADAG,Adagene ,Adagene
80,80,80,80,80,ADAP,Adaptimmune Therapeutics plc,Adaptimmune
81,81,81,81,81,ADBE,Adobe ,Adobe
82,82,82,82,82,ADD,Color Star Technology,Color Star
83,83,83,83,83,ADEA,Adeia,Company's Common Name: Adeia
84,84,84,84,84,ADER,26 Capital Acquisition ,26 Capital Acquisition
85,85,85,85,85,ADERU,26 Capital Acquisition ,26 Capital Acquisition
86,86,86,86,86,ADERW,26 Capital Acquisition ,26 Capital Acquisition
87,87,87,87,87,ADES,Advanced Emissions Solutions ,ADES
88,88,88,88,88,ADI,Analog Devices ,ADI
89,89,89,89,89,ADIL,Adial Pharmaceuticals ,Adial
90,90,90,90,90,ADMA,ADMA Biologics ,ADMA
91,91,91,91,91,ADN,Advent Technologies Holdings ,Advent Technologies
92,92,92,92,92,ADNWW,Advent Technologies Holdings ,Advent Technologies
93,93,93,93,93,ADOC,Edoc Acquisition ,DocuSign
94,94,94,94,94,ADOCR,Edoc Acquisition ,DocuSign
95,95,95,95,95,ADOCW,Edoc Acquisition ,DocuSign
96,96,96,96,96,ADP,Automatic Data Processing ,ADP
97,97,97,97,97,ADPT,Adaptive Biotechnologies ,Adaptive Biotechnologies
98,98,98,98,98,ADSE,ADS-TEC ENERGY PLC,ADS-TEC
99,99,99,99,99,ADSEW,ADS-TEC ENERGY PLC,ADS-TEC
100,100,100,100,100,ADSK,Autodesk ,Autodesk
101,101,101,101,101,ADTH,AdTheorent Holding,AdTheorent
102,102,102,102,102,ADTHW,AdTheorent Holding,AdTheorent
103,103,103,103,103,ADTN,ADTRAN Holdings ,ADTRAN
104,104,104,104,104,ADTX,Aditxt ,Aditxt
105,105,105,105,105,ADUS,Addus HomeCare ,Addus
106,106,106,106,106,ADV,Advantage Solutions,Advantage
107,107,107,107,107,ADVM,Adverum Biotechnologies ,Adverum
108,108,108,108,108,ADVWW,Advantage Solutions,Advantage
109,109,109,109,109,ADXN,Addex Therapeutics ,Addex
110,110,110,110,110,AEAE,AltEnergy Acquisition ,AltEnergy Acquisition
111,111,111,111,111,AEAEU,AltEnergy Acquisition ,AltEnergy Acquisition
112,112,112,112,112,AEAEW,AltEnergy Acquisition ,AltEnergy Acquisition
113,113,113,113,113,AEHL,Antelope Enterprise Holdings ,Antelope
114,114,114,114,114,AEHR,Aehr Test Systems,Aehr
115,115,115,115,115,AEI,Alset ,Alset
116,116,116,116,116,AEIS,Advanced Energy Industries ,Advanced Energy
117,117,117,117,117,AEMD,Aethlon Medical ,Aethlon Medical
118,118,118,118,118,AENT,Alliance Entertainment Holding ,Alliance Entertainment
119,119,119,119,119,AENTW,Alliance Entertainment Holding ,Alliance Entertainment
