,key,value
0,AACG,{'ATA Creativity Global'}
1,AACI,{'Armada Acquisition'}
2,AACIU,{'Armada Acquisition'}
3,AACIW,{'Armada Acquisition'}
4,AADI,{'Aadi Bioscience '}
5,AADR,{'AdvisorShares Dorsey Wright ADR '}
6,AAL,{'American Airlines Group '}
7,AAME,{'Atlantic American '}
8,AAOI,{'Applied Optoelectronics '}
9,AAON,{'AAON '}
10,AAPB,{'GraniteShares 1.75x Long AAPL Daily '}
11,AAPD,{'Direxion Daily AAPL Bear 1X Shares'}
12,AAPL,{'Apple '}
13,AAPU,{'Direxion Daily AAPL Bull 1.5X Shares'}
14,AAXJ,{'iShares MSCI All Country Asia ex Japan '}
15,ABCB,{'Ameris Ban'}
16,ABCL,{'AbCellera Biologics '}
17,ABCM,{'Abcam plc'}
18,ABEO,{'Abeona Therapeutics '}
19,ABIO,{'ARCA biopharma '}
20,ABL,{'Abacus Life '}
21,ABLLW,{'Abacus Life '}
22,ABLV,{'Able View Global '}
23,ABLVW,{'Able View Global '}
24,ABNB,{'Airbnb '}
25,ABOS,{'Acumen Pharmaceuticals '}
26,ABSI,{'Absci '}
27,ABUS,{'Arbutus Biopharma '}
28,ABVC,{'ABVC BioPharma '}
29,ACAB,{'Atlantic Coastal Acquisition'}
30,ACABU,{'Atlantic Coastal Acquisition'}
31,ACABW,{'Atlantic Coastal Acquisition'}
32,ACAC,{'Acri Capital Acquisition '}
33,ACACU,{'Acri Capital Acquisition '}
34,ACACW,{'Acri Capital Acquisition '}
35,ACAD,{'ACADIA Pharmaceuticals '}
36,ACAH,{'Atlantic Coastal Acquisition '}
37,ACAHU,{'Atlantic Coastal Acquisition '}
38,ACAHW,{'Atlantic Coastal Acquisition '}
39,ACAX,{'Alset Capital Acquisition '}
40,ACAXR,{'Alset Capital Acquisition '}
41,ACAXU,{'Alset Capital Acquisition '}
42,ACAXW,{'Alset Capital Acquisition '}
43,ACB,{'Aurora Cannabis '}
44,ACBA,{'Ace Global Business Acquisition '}
45,ACBAU,{'Ace Global Business Acquisition '}
46,ACBAW,{'Ace Global Business Acquisition '}
47,ACCD,{'Accolade '}
48,ACDC,{'ProFrac Holding '}
49,ACDCW,{'ProFrac Holding '}
50,ACER,{'Acer Therapeutics '}
51,ACET,{'Adicet Bio '}
52,ACGL,{'Arch Capital Group '}
53,ACGLN,{'Arch Capital Group '}
54,ACGLO,{'Arch Capital Group '}
55,ACHC,{'Acadia Healthcare'}
56,ACHL,{'Achilles Therapeutics plc'}
57,ACHV,{'Achieve Life Sciences'}
58,ACIC,{'American Coastal Insurance '}
59,ACIU,{'AC Immune SA'}
60,ACIW,{'ACI Worldwide '}
61,ACLS,{'Axcelis Technologies '}
62,ACLX,{'Arcellx '}
63,ACMR,{'ACM Research '}
64,ACNB,{'ACNB '}
65,ACNT,{'Ascent Industries '}
66,ACON,{'Aclarion '}
67,ACONW,{'Aclarion '}
68,ACOR,{'Acorda Therapeutics '}
69,ACRS,{'Aclaris Therapeutics '}
70,ACRV,{'Acrivon Therapeutics '}
71,ACRX,{'AcelRx Pharmaceuticals '}
72,ACST,{'Acasti Pharma'}
73,ACT,{'Enact Holdings '}
74,ACTG,{'Acacia Research '}
75,ACVA,{'ACV Auctions '}
76,ACWI,{'iShares MSCI ACWI '}
77,ACWX,{'iShares MSCI ACWI ex U.S. '}
78,ACXP,{'Acurx Pharmaceuticals '}
79,ADAG,{'Adagene '}
80,ADAP,{'Adaptimmune Therapeutics plc'}
81,ADBE,{'Adobe '}
82,ADD,{'Color Star Technology'}
83,ADEA,{'Adeia'}
84,ADER,{'26 Capital Acquisition '}
85,ADERU,{'26 Capital Acquisition '}
86,ADERW,{'26 Capital Acquisition '}
87,ADES,{'Advanced Emissions Solutions '}
88,ADI,{'Analog Devices '}
89,ADIL,{'Adial Pharmaceuticals '}
90,ADMA,{'ADMA Biologics '}
91,ADN,{'Advent Technologies Holdings '}
92,ADNWW,{'Advent Technologies Holdings '}
93,ADOC,{'Edoc Acquisition '}
94,ADOCR,{'Edoc Acquisition '}
95,ADOCW,{'Edoc Acquisition '}
96,ADP,{'Automatic Data Processing '}
97,ADPT,{'Adaptive Biotechnologies '}
98,ADSE,{'ADS-TEC ENERGY PLC'}
99,ADSEW,{'ADS-TEC ENERGY PLC'}
100,ADSK,{'Autodesk '}
101,ADTH,{'AdTheorent Holding'}
102,ADTHW,{'AdTheorent Holding'}
103,ADTN,{'ADTRAN Holdings '}
104,ADTX,{'Aditxt '}
105,ADUS,{'Addus HomeCare '}
106,ADV,{'Advantage Solutions'}
107,ADVM,{'Adverum Biotechnologies '}
108,ADVWW,{'Advantage Solutions'}
109,ADXN,{'Addex Therapeutics '}
110,AEAE,{'AltEnergy Acquisition '}
111,AEAEU,{'AltEnergy Acquisition '}
112,AEAEW,{'AltEnergy Acquisition '}
113,AEHL,{'Antelope Enterprise Holdings '}
114,AEHR,{'Aehr Test Systems'}
115,AEI,{'Alset '}
116,AEIS,{'Advanced Energy Industries '}
117,AEMD,{'Aethlon Medical '}
118,AENT,{'Alliance Entertainment Holding '}
119,AENTW,{'Alliance Entertainment Holding '}
120,AEP,{'American Electric Power'}
121,AEY,{'ADDvantage Technologies Group '}
122,AEYE,{'AudioEye '}
123,AEZS,{'Aeterna Zentaris '}
124,AFAR,{'Aura FAT Projects Acquisition '}
125,AFARU,{'Aura FAT Projects Acquisition '}
126,AFARW,{'Aura FAT Projects Acquisition '}
127,AFBI,{'Affinity Bancshares '}
128,AFCG,{'AFC Gamma '}
129,AFIB,{'Acutus Medical '}
